vehicle_id,time,matched_road_id
EEEEEEE,14/03/2016 00:00:01,103064895
AAAAAAA,14/03/2016 00:00:10,103105500
CCCCCCC,14/03/2016 00:00:12,103019160
EEEEEEE,14/03/2016 00:00:13,103103475
DDDDDDD,14/03/2016 00:00:16,103101542
BBBBBBB,14/03/2016 00:00:19,108001862
EEEEEEE,14/03/2016 00:00:23,103065175
CCCCCCC,14/03/2016 00:00:26,103019158
EEEEEEE,14/03/2016 00:00:32,103065135
AAAAAAA,14/03/2016 00:00:33,103040728
DDDDDDD,14/03/2016 00:00:33,103101542
AAAAAAA,14/03/2016 00:00:39,103105584
EEEEEEE,14/03/2016 00:00:48,103103059
BBBBBBB,14/03/2016 00:00:50,103078258
CCCCCCC,14/03/2016 00:00:57,103019158
EEEEEEE,14/03/2016 00:01:02,103103055
EEEEEEE,14/03/2016 00:01:08,103103051
AAAAAAA,14/03/2016 00:01:10,103104538
BBBBBBB,14/03/2016 00:01:21,103112767
CCCCCCC,14/03/2016 00:01:30,103058052
AAAAAAA,14/03/2016 00:01:30,103066954
EEEEEEE,14/03/2016 00:01:37,103061411
AAAAAAA,14/03/2016 00:01:40,103103562
BBBBBBB,14/03/2016 00:01:51,103105063
CCCCCCC,14/03/2016 00:01:58,103018664
EEEEEEE,14/03/2016 00:02:04,103110512
BBBBBBB,14/03/2016 00:02:05,103062307
AAAAAAA,14/03/2016 00:02:10,103066714
CCCCCCC,14/03/2016 00:02:25,103014984
BBBBBBB,14/03/2016 00:02:25,103081455
CCCCCCC,14/03/2016 00:02:29,103014984
EEEEEEE,14/03/2016 00:02:33,103114140
AAAAAAA,14/03/2016 00:02:40,103103866
BBBBBBB,14/03/2016 00:02:52,103007175
CCCCCCC,14/03/2016 00:02:59,103014984
CCCCCCC,14/03/2016 00:03:00,103014984
CCCCCCC,14/03/2016 00:03:00,103014984
EEEEEEE,14/03/2016 00:03:04,103114140
AAAAAAA,14/03/2016 00:03:11,103092374
BBBBBBB,14/03/2016 00:03:22,103007175
CCCCCCC,14/03/2016 00:03:26,103038936
EEEEEEE,14/03/2016 00:03:35,103114140
EEEEEEE,14/03/2016 00:03:36,103114140
CCCCCCC,14/03/2016 00:03:36,103038936
EEEEEEE,14/03/2016 00:03:39,103012206
AAAAAAA,14/03/2016 00:03:40,103103691
BBBBBBB,14/03/2016 00:03:52,103007175
CCCCCCC,14/03/2016 00:03:54,103046907
EEEEEEE,14/03/2016 00:04:05,103069239
AAAAAAA,14/03/2016 00:04:10,103104399
BBBBBBB,14/03/2016 00:04:22,103016914
CCCCCCC,14/03/2016 00:04:22,103016246
EEEEEEE,14/03/2016 00:04:36,103069239
EEEEEEE,14/03/2016 00:04:36,103002611
